CIENCIA;100;¿En qué conjunto de números no existen los negativos?;!Números naturales;Números reales;Números enteros
CIENCIA;200;¿Qué es un agujero negro?;Una fuente astronómica de energía electromagnética;Un fenómeno físico causado por el reflejo de la luz sobre la materia;!Una región espaciotemporal con un campo gravitario que absorbe las partículas 
CIENCIA;300;¿Qué superficie refleja mayor cantidad de luz?;El océano;!La nieve;Los Bosques
CIENCIA;400;¿Quién descubrió el electrocardiograma?;Frederick Grant Banting;!Willem Einthoven;Karl Landsteiner
CIENCIA;500;¿Quién descubrió las primeras vacunas efectivas contra la fiebre amarilla?;Selman Abraham Waksman;Barbara McClintock;!Max Theiler
HISTORIA;100;¿Cómo murió Mahatma Gandhi?;Finalizó sus días anciano, víctima de una enfermedad;!Fue asesinado por un integrista indio ;En el frente en la Guerra de India-Pakistán
HISTORIA;200;¿En qué año se descubrieron los primero restos de Hombres de Neandertal?;1976;!1848;1896
HISTORIA;300;¿Qué país fue el primero del mundo en permitir la adopción por parejas del mismo sexo?;!España;Alemania;Holanda
HISTORIA;400;¿Quién fue el padre de Alejandro Magno?;Carlomagno;Séneca;!Filipo II 
HISTORIA;500;¿Quién fue el unico nombrado como Reichmarschall durante el III Reich?;!Hermann Wilhelm Göring;Heinrich Himmler;Erwin Rommel
ARTE;100;¿A qué misterioso personaje roba Bilbo el Anillo de Poder en 'El Hobbit'?;Aragorn;!Gollum;Gandalf
ARTE;200;¿Quién escribió Pipi Calzaslargas?;!Astrid Lindgren;Hercules Poirot;Arturo Pérez Reverte
ARTE;300;¿Cuál es la obra cumbre de la Arquitectura Bizantina?;La Iglesia de Santos Sergio y Baco;La Iglesia de la Santa Paz;!La Iglesia de Santa Sofía
ARTE;400;¿Quién escribió Fausto?;!Goethe;Michael Ende;Ray BradBury
ARTE;500;¿Cuántos actos tiene la obra La Casa de Bernarda Alba?;Cinco;!Tres;Uno
DEPORTE;100;¿A qué juega Beckham?;Golf;!fútbol;Cricket
DEPORTE;200;¿Quién fue el ganador de la Vuelta a España 2012?;!Alberto Contador;Joaquin Purito;Bradley Wiggins
DEPORTE;300;¿A qué juega Fernando Alonso?;Baloncesto;!Fórmula 1;Fútbol
DEPORTE;400;¿Dónde está La Bombonera, estadio de fútbol?;China;!Argentina;España
DEPORTE;500;En un partido de ping-pong ¿Qué ocurre si en el saque, la pelota toca la red?;!Se repite;Se repite hasta dos veces;Se descuenta un punto
CINE;100;¿Quien es Blanca Romero en la serie Física o Química?;Olimpia, la Directora;!Irene, la profesora de Filosofía;Celia, la Jefa de Estudios
CINE;200;¿Qué pareja de actores españoles interpreta a Elena y Ricardo, los protagonistas de la película Los Girasoles Ciegos?;Elena Furiase y Benicio del Toro;!Maribel Verdú y Javier Cámara;Asunción Balaguer y Juan Diego Botto
CINE;300;¿Qué escritor es autor de la novela 'El Padrino'?;Umberto Eco;Thomas Harris;!Mario Puzo
CINE;400;¿Cuál es la profesión de Melvin Udall, el protagonista de 'Mejor ... imposible'?;Repartidor de periódicos;!Escritor novela romántica;Pescadero
CINE;500;¿Cuál fue la primera película argelina en ganar un Oscar?;Q;!Z;X
GEOGRAFIA;100;¿En qué provincia están las fuentes de San Ildefonso?;Cuenca;!Segovia;Ciudad Real
GEOGRAFIA;200;¿Dónde se encuentra el río Tigris?;!En Asia;En Europa;En Africa
GEOGRAFIA;300;¿Cuál es la capital de Mozambique?;Canuto;!Maputo;Islandia
GEOGRAFIA;400;¿Cual de los siguientes países no es un archipiélago?;Japón;!Angola;Cuba
GEOGRAFIA;500;¿Si aún existiesen, en qué país se encontrarían actualmente los Jardines colgantes de Babilonia?;!Iraq;Grecia;Egipto
